well_id,original_id,name,country,admin_1,admin_2,admin_3,admin_4,locality,latitude,longitude,elevation,yield,well_depth,operation_status,drilling_end_date,source_1,source_2,source_3,last_update
,8235436640,,,,,,,Gatina,-1.27661,36.75888,,,,operational,,,,,
,8235436641,,,,,,,Gatina,-1.27671,36.75896,,,,operational,,,,,
,8235436643,,,,,,,Gatina,-1.27893,36.75767,,,,operational,,,,,
,8235436644,,,,,,,Gatina,-1.27491,36.75792,,,,operational,,,,,
,8235436645,,,,,,,Gatina,-1.27441,36.7557,,,,operational,,,,,
,8235436646,,,,,,,Gatina,-1.27574,36.75626,,,,operational,,,,,
,8235436647,,,,,,,Gatina,-1.27439,36.75651,,,,operational,,,,,
,8235436648,,,,,,,Gatina,-1.2764,36.75528,,,,operational,,,,,
,8235436649,,,,,,,Gatina,-1.27732,36.75362,,,,operational,,,,,
,8235436650,,,,,,,Gatina,-1.27644,36.75521,,,,operational,,,,,
,8235436651,,,,,,,Gatina,-1.27681,36.75425,,,,operational,,,,,
,8235436652,,,,,,,Gatina,-1.2773,36.7536,,,,operational,,,,,
,8235436653,,,,,,,Gatina,-1.27734,36.75363,,,,operational,,,,,
,8235436654,,,,,,,Gatina,-1.27739,36.75312,,,,operational,,,,,
,8235436655,,,,,,,,-1.2755,36.75255,,,,operational,,,,,
,8235436656,,,,,,,Gatina,-1.27564,36.74987,,,,operational,,,,,
,8235436657,,,,,,,Gatina,-1.2774,36.75326,,,,operational,,,,,
,8235436660,,,,,,,Gatina,-1.27558,36.7569,,,,non_operational,,,,,
,8235436661,,,,,,,Gatina,-1.27538,36.75744,,,,operational,,,,,
,8235436663,,,,,,,Gatina,-1.2749,36.75819,,,,operational,,,,,
,8235436665,,,,,,,Gatina,-1.27579,36.75917,,,,operational,,,,,
,8235436666,,,,,,,Gatina,-1.27637,36.75955,,,,operational,,,,,
,8235436667,,,,,,,Gatina,-1.27511,36.75906,,,,operational,,,,,
,8235436668,,,,,,,Gatina,-1.27582,36.7623,,,,operational,,,,,
,8235436669,,,,,,,Gatina,-1.28212,36.75822,,,,operational,,,,,
,8235436671,,,,,,,Gatina,-1.27552,36.75694,,,,operational,,,,,
,8235436673,,,,,,,Congo,-1.28827,36.75466,,,,non_operational,,,,,
,8235436675,,,,,,,Congo,-1.28237,36.75244,,,,operational,,,,,
,8235436680,,,,,,,Congo,-1.28643,36.75706,,,,non_operational,,,,,
,8235436681,,,,,,,,-1.28997,36.75085,,,,operational,,,,,
,8235436683,,,,,,,,-1.28992,36.74694,,,,operational,,,,,
,8235436685,,,,,,,,-1.28832,36.75156,,,,operational,,,,,
,8235436686,,,,,,,,-1.2886,36.75139,,,,operational,,,,,
,8235436687,,,,,,,,-1.28856,36.75128,,,,operational,,,,,
,8235436688,,,,,,,,-1.29018,36.75134,,,,operational,,,,,
,8235436693,,,,,,,,-1.28808,36.75004,,,,operational,,,,,
,8235436694,,,,,,,,-1.28992,36.75058,,,,operational,,,,,
,8235436695,,,,,,,,-1.29117,36.7491,,,,operational,,,,,
,8235436696,,,,,,,,-1.2866,36.74623,,,,operational,,,,,
,8235436697,,,,,,,,-1.28756,36.74878,,,,operational,,,,,
,8235436698,,,,,,,,-1.28754,36.74874,,,,operational,,,,,
,8235436699,,,,,,,56,-1.2771,36.74868,,,,operational,,,,,
,11648845060,,,,,,,,-2.49674,40.24719,-17.5,,,operational,,,,,
,11648878484,,,,,,,,-2.02585,40.08357,18.1,,,needs maintenance,,,,,
,11648845048,,,,,,,,-2.15385,40.12401,15.55,,,under_construction,,,,,
